Key,Heidesleutel,,,,,,
Titel,Veldsleutel voor Heide,,,,,,
Versie,versie2_20230731,,,,,,
Auteurs,xxyy,,,,,,
STEP,TYPE,NAME,NEXT_STEP,CLASSIFICATION,BWK_CODE,SUBKEY,REMARK
0,Q,Bedekking bomen en struiken (kroonprojectie; exclusief dwergstruiken):,,,,,"dwergstruiken = Calluna, Erica, Vaccinium, Genista"
0,A,≤ 10%,2,,,,Het verspreid voorkomen van individuele of kleine groepjes (< 400 m²) bomen of struiken vormt integraal onderdeel van de heidebiotoop.
0,A,> 10% and < 50%,4,,,,
0,A,≥ 50%,1,,,,
,,,,,,,
1,Q,,,,,,
1,A,Bedekking (kroonprojectie) van wilde gagel ≥ 50%,80,,,,
1,A,"Recent verboste heide: minder dan 10% bedekking van hogere (> 6m) bomen en struiken en soorten van open heide (struikhei, gewone dophei, rode dophei, blauwe bosbes, beenbreek, veenpluis, buntgras) domineren op pijpenstrootje, bochtige smele, struisgras spec, varens en bosplanten",40,,,,Een recent verboste heide wordt nog als een heidehabitat aanzien als de ondergroei gedomineerd wordt door de typisch soorten van open heide.
1,A,anders,SLEUTEL,,,BOSSEN_STRUWELEN,
,,,,,,,
2,Q,,,,,,
2,A,jeneverbes: afwezig of < 10 ex.,3,,,,Bij aanwezigheid: het aantal jeneverbessen vermelden in infoveld.
2,A,jeneverbes: ≥ 10 ex. aanwezig,35,,,,
,,,,,,,
3,Q,,,,,,
3,A,"Vergraste heide: pijpenstrootje, bochtige smele, fijn schapengras en/of struisgrassen bedekken > 50% of hun aandeel in de kruidlaag is > 50%",10,,,,Kroonprojectie dwergstruiken < 50%.
3,A,Vegetatie gedomineerd door adelaarsvaren (bedekking > 50%) (= adelaarsvaren gedomineerde heide),65,,,,
3,A,"Recente plagplekken, brandplekken of pioniervegetaties met witte of bruine snavelbies, moeraswolfsklauw, ronde of kleine zonnedauw (= pioniersvegetaties)",70,,,,
3,A,anders (= open heide en duin),50,,,,
,,,,,,,
4,Q,,,,,,
4,A,Open heide met veel verspreide bomen of in evolutie naar verboste heide,2,,..b + boomcode,,Noteer de dominante boom- en/of struiksoort en vervolg bij 1a zonder rekening te houden met de beboste delen bij het schatten van verhoudingen.
,,,,,,,
10,T1,Vergraste heide (< 50% bomen of struiken; grassen dominant en > 50% bedekkend),,,,,
10,Q,,,,,,
10,A,Struisgras spec en/of fijn schapengras domineert de graslaag,11,,,,
10,A,Bochtige smele domineert de graslaag,14,,,,
10,A,Pijpenstrootje domineert de graslaag,21,,,,
,,,,,,,
11,T1,Vergraste heide (dominantie van struisgras spec en/of fijn schapengras),,,,,
11,Q,,,,,,
11,A,"Vergraste landduinvegetatie: op profielloos landduin of droge profielloze zandgrond, EN met abundant soorten van het Buntgrasverbond: buntgras, ruig haarmos, vroege haver, zandzegge of korstmossen (o.a. Cladonia's en Cetraria's). Struikhei meestal minder dan 10% bedekkend.",,2330_bu,hac°,,"Indien ≥ 10% open zand, dan wordt dm als eenh2 (kwaliteitsindicator) toegevoegd."
11,A,"Vergraste dwerghavervegetatie: open, grazige vegetatie op kalkarme, droge zandgrond met minstens abundant éénjarigen, waarbij minstens 2 van de typische soorten vroege haver, klein vogelpootje, zilverhaver, klein tasjeskruid, dwergviltkruid, eekhoorngras en zandblauwtje tesamen frequent aanwezig zijn, naast de overblijvende soorten zoals struisgras spec, gewoon biggenkruid en schapenzuring.",,2330_dw,hat°,,Indien soorten van 2330_bu en 2330_dw samen voorkomen: wordt niet als een complex van beide subtypen gekarteerd; de soorten met het hoogste aandeel in de vegetatie bepalen het subtype.
11,A,Anders:,12A,,,,
,,,,,,,
12A,Q,,,,,,
12A,A,Bedekking van dwergstruiken ≥ 20%,13,,,,
12A,A,Anders:,12B,,,,
,,,,,,,
12B,Q,,,,,,
12B,A,"Vergraste heide, deel uitmakend van een groter heidegebied",,"2310,4030",ha,,
12B,A,Struisgrasland,SLEUTEL,,,GRASLANDEN,
,,,,,,,
13,Q,,,,,, 
13,A,"Open vegetatie op profielloos landduin of droge profielloze zandgrond met aanwezigheid van typische soorten van landduinvegetaties (korstmossen, ruig haarmos, buntgras, zandzegge, klein tasjeskruid, vroege haver)",,2310,ha+cg,,
13,A,Anders,,4030,ha+cg,,
,,,,,,,
,,,,,,,
14,T1,Vergraste heide (dominantie van bochtige smele),,,,,
,,,,,,,
14,Q,,,,,,
14,A,Vergraste droge heide met aandeel resterende dwergstruiken ≥ 20%,15,,,,"dwergstruiken = Calluna, Erica, Vaccinium, Genista"
14,A,Anders,16,,,,
,,,,,,,
15,Q,,,,,,
15,A,"Open vegetatie op profielloos landduin of droge profielloze zandgrond met aanwezigheid van typische soorten van landduinvegetaties (korstmossen, ruig haarmos, buntgras, zandzegge, klein tasjeskruid, vroege haver)",,2310,cd + cg,,
15,A,Op andere bodems en blauwe en/of rode bosbes domineren de dwergstruiklaag,,4030,cd + cv,,
15,A,Anders,,4030,cd + cg,,
,,,,,,,
16,Q,,,,,,
16,A,Grasland of zoom met minstens 3 typische soorten van heischraal grasland elk occasioneel aanwezig:,SLEUTEL,,,GRASLAND_HT6230,
16,I,"heischrale soorten: blauwe knoop, blauwe zegge, bleeksporig bosviooltje, borstelgras, dicht havikskruid, echte guldenroede, fijn schapengras, fraai hertshooi, gaspeldoorn, gelobde maanvaren, gevlekte orchis, heidekartelblad, hondsviooltje, kleine tijm, klokjesgentiaan, knollathyrus, kruipganzerik, liggend walstro, liggende vleugeltjesbloem, mannetjesereprijs, spits havikskruid, stekelbrem, stijf havikskruid, stijve ogentroost, tandjesgras, tormentil, trekrus, tweenervige zegge, veelbloemige veldbies, welriekende nachtorchis, zaagblad.",,,,,
16,A,"Vergraste landduinvegetatie (landduin of droge profielloze zandgrond) en met minstens abundant soorten van het Buntgrasverbond: buntgras, ruig haarmos, vroege haver, zandzegge of korstmossen (o.a. Cladonia's en Cetraria's). Struikhei meestal minder dan 10% bedekkend.",,2330_bu,hac°,,"Indien ≥ 10% open zand, dan wordt dm als eenh2 (kwaliteitsindicator) toegevoegd."
16,A,"Open, grazige vegetatie op kalkarme, droge zandgrond met minstens abundant éénjarigen, waarbij de typische soorten vroege haver, klein vogelpootje, zilverhaver, klein tasjeskruid, dwergviltkruid, eekhoorngras en zandblauwtje tesamen minstens frequent aanwezig zijn, naast de soms aanwezige algemenere, overblijvende soorten zoals struisgras spec, gewoon biggenkruid en schapenzuring.",,2330_dw,hat°,,"Indien soorten van 2330_bu en 2330_dw samen voorkomen, wordt dit niet als een complex van beide subtypen gekarteerd. De soorten met het hoogste aandeel in de vegetatie bepalen het subtype."
16,A,Anders,17,,,,
,,,,,,,
17,Q,De door Bochtige smele gedomineerde vegetatie maakt deel uit van:,,,,,
17,A,een groter heideterrein,18,,,,
17,A,een open plek omgeven door bos,19,,,,
17,A,een tijdelijke kapvlakte,SLEUTEL,,,BOSSEN_STRUWELEN,
17,A,de ondergroei van een (recente) bos(aanplant),SLEUTEL,,,BOSSEN_STRUWELEN,
17,A,anders,20,,,,
,,,,,,,
18,Q,,,,,,
18,A,"Open vegetatie op profielloos landduin of droge profielloze zandgrond met aanwezigheid van typische soorten van landduinvegetaties (korstmossen, ruig haarmos, buntgras, zandzegge, klein tasjeskruid, vroege haver)",,2310,cd,,
18,A,Anders,,4030,cd,,
,,,,,,,
19,Q,Open plek in het bos:,,,,,
19,A,< 1000 m² en vegetatiesamenstelling sterk gelijkend aan deze van de bosondergroei,maakt deel uit van het bos en gaat op in de omliggend bosbiotoop,,,,
19,A,Anders,20,,,,
,,,,,,,
20,Q,,,,,,
20,A,Struikhei minstens frequent aanwezig,18,,,,
